id,time,款,項,目,節,編號,名稱,本年度預算數,上年度預算數,前年度決算數,本年度與上年度比較,說明
201,106,02001,C,卸任禮遇,卸任禮遇,32020010600,"<#H1>本年度預算數25,255千元，包括人事費8,405千元，業務費16,850千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>第九任卸任總統禮遇經費8,590千元，與上年度同。<#H2>第十三任卸任總統禮遇經費10,590千元，較上年度增列禮遇金及保健醫療費用等經費379千元。<#H2>第十三任卸任副總統禮遇經費6,075千元，較上年度增列禮遇金及保健醫療費用等經費490千元。<#H2>上年度第十一任及第十二任卸任副總統禮遇預算業已編竣，所列2,935千元如數減列。",25255000,25255000,29195022,0,
201,106,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,32020010800,"<#H1>本年度預算數9,220千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>公報編印經費508千元，較上年度減列公報印刷等經費57千元。<#H2>印信鑄造頒發經費2,809千元，較上年度增列各機關印信製(換)發經費1,470千元。<#H2>勳章製作及敬老事宜經費5,903千元，較上年度增列製作勳章等經費50千元。",9220000,9220000,7110305,0,
201,106,02001,C,第一預備金,第一預備金,32020019800,仍照上年度預算數編列。,2073000,2073000,0,0,
201,107,,,"合    計","合    計",,,920582000,953475000,1046357037,-32893000,
201,107,02001,C,總統府主管,總統府主管,00020000000,,920582000,953475000,1046357037,-32893000,
201,107,02001,C,總統府,總統府,00020010000,,920582000,953475000,1046357037,-32893000,
201,107,02001,C,國務支出,國務支出,32020010000,,920582000,953475000,1046357037,-32893000,
201,107,02001,C,一般行政,一般行政,32020010100,"<#H1>本年度預算數826,383千元，包括人事費615,358千元，業務費188,166千元，設備及投資21,882千元，獎補助費977千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費615,358千元，較上年度核實減列人事費19,152千元。<#H2>基本行政工作維持費165,917千元，較上年度增列房屋建築養護等經費486千元。其中總統府外牆清洗防護及局部檢修工程計畫總經費31,645千元，分2年辦理，本年度編列第1年經費15,465千元。<#H2>資訊行政工作維持費40,686千元，較上年度減列資訊服務等經費1,475千元。<#H2>警衛行政工作維持費4,422千元，較上年度減列車輛油料等經費336千元。",826383000,846860000,917051550,-20477000,
201,107,02001,C,國務機要,國務機要,32020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首國內外訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29785831,0,
201,107,02001,C,國家慶典,國家慶典,32020010300,"<#H1>本年度預算數15,614千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典布置經費4,351千元，較上年度增列布置會場等經費494千元。<#H2>慶典接待經費11,263千元，較上年度減列國宴及致贈賓客紀念品等經費1,455千元。",15614000,16575000,46075322,-961000,
201,107,02001,C,研究發展,研究發展,32020010400,,6861000,12126000,7406478,-5265000,
201,107,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,32020010401,"<#H1>本年度預算數6,861千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費4,376千元，較上年度減列專案議題會議幕僚作業等經費3,399千元。<#H2>國政建言經費1,899千元，較上年度增列辦理民眾陳情業務等經費177千元。<#H2>兩岸關係與區域發展經費586千元，較上年度減列出國考察及參與研討會等經費2,043千元。",6861000,12126000,7406478,-5265000,
201,107,02001,C,新聞發布,新聞發布,32020010500,"<#H1>本年度預算數10,194千元，全數為業務費。<#H1>本年度預算數10,194千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理相關新聞活動等經費1,172千元。",10194000,11366000,9732529,-1172000,
201,107,02001,C,卸任禮遇,卸任禮遇,32020010600,"<#H1>本年度預算數23,755千元，包括人事費8,405千元，業務費15,350千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>第9任卸任總統禮遇經費8,590千元，與上年度同。<#H2>第13任卸任總統禮遇經費9,590千元，較上年度減列處理事務等經費1,000千元。<#H2>第13任卸任副總統禮遇經費5,575千元，較上年度減列處理事務等經費500千元。",23755000,25255000,29195022,-1500000,
201,107,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,32020010800,"<#H1>本年度預算數5,402千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>公報編印經費443千元，較上年度減列公報印刷等經費65千元。<#H2>印信鑄造頒發經費1,334千元，較上年度減列各機關印信製(換)發經費1,475千元。<#H2>勳章製作及敬老事宜經費3,625千元，較上年度減列敬老禮品等經費2,278千元。",5402000,9220000,7110305,-3818000,
201,107,02001,C,第一預備金,第一預備金,32020019800,本年度預算數較上年度增列如列數。,2373000,2073000,0,300000,
201,108,,,"合    計","合    計",,,973467000,920582000,885772345,52885000,
201,108,02001,C,總統府主管,總統府主管,00020000000,,973467000,920582000,885772345,52885000,
201,108,02001,C,總統府,總統府,00020010000,,973467000,920582000,885772345,52885000,
201,108,02001,C,國務支出,國務支出,32020010000,,973467000,920582000,885772345,52885000,
201,108,02001,C,一般行政,一般行政,32020010100,"<#H1>本年度預算數881,463千元，包括人事費627,852千元，業務費210,234千元，設備及投資42,411千元，獎補助費966千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費627,852千元，較上年度減列員額10人之人事費6,000千元，伸算增列調整待遇等經費18,494千元，計淨增12,494千元。<#H2>基本行政工作維持費195,258千元，較上年度增列景觀照明節能汰換、強化博愛路側安全防護設施等經費29,341千元。其中外牆清洗防護及局部檢修工程計畫總經費31,645千元，分2年辦理，107年度已編列15,465千元，本年度續編最後1年經費16,180千元，較上年度增列715千元。<#H2>資訊行政工作維持費52,906千元，較上年度增列建置府區監控中心及訪客系統等經費12,220千元。<#H2>警衛行政工作維持費5,447千元，較上年度增列軍職人員服裝購置等經費1,025千元。",881463000,826383000,786007932,55080000,
201,108,02001,C,國務機要,國務機要,32020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首國內外訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29592031,0,
201,108,02001,C,國家慶典,國家慶典,32020010300,"<#H1>本年度預算數15,805千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典布置經費4,580千元，較上年度增列布置會場等經費229千元。<#H2>慶典接待經費11,225千元，較上年度減列印製賀卡等經費38千元。",15805000,15614000,14906409,191000,
201,108,02001,C,研究發展,研究發展,32020010400,,6724000,6861000,10269264,-137000,
201,108,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,32020010401,"<#H1>本科目配合科目調整，將上年度分支計畫「兩岸關係與區域發展」移入「國政規劃與諮詢」。<#H1>本年度預算數6,724千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費5,677千元，較上年度增列辦理大法官提名幕僚作業等經費715千元。<#H2>國政建言經費1,047千元，較上年度減列辦理民眾陳情業務等經費852千元。",6724000,6861000,10269264,-137000,
201,108,02001,C,新聞發布,新聞發布,32020010500,"<#H1>本年度預算數7,353千元，全數為業務費。<#H1>本年度預算數7,353千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理新聞活動等經費2,841千元。",7353000,10194000,10580191,-2841000,
201,108,02001,C,卸任禮遇,卸任禮遇,32020010600,"<#H1>本年度預算數22,508千元，包括人事費8,658千元，業務費13,850千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>第9任卸任總統禮遇經費8,683千元，較上年度增列禮遇經費93千元。<#H2>第13任卸任總統禮遇經費8,683千元，較上年度減列處理事務等經費907千元。<#H2>第13任卸任副總統禮遇經費5,142千元，較上年度減列處理事務等經費433千元。",22508000,23755000,26937550,-1247000,
201,108,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,32020010800,"<#H1>本科目配合科目調整，將上年度分支計畫「公報編印」移入「印信鑄造頒發」，分支計畫調整為「印信鑄造及公報編印」。<#H1>本年度預算數6,741千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>印信鑄造及公報編印經費3,180千元，較上年度增列各機關印信製(換)發等經費1,403千元。<#H2>勳章製作及敬老事宜經費3,561千元，較上年度減列勳章製作等經費64千元。",6741000,5402000,7478968,1339000,
201,108,02001,C,第一預備金,第一預備金,32020019800,本年度預算數較上年度增列如列數。,2873000,2373000,0,500000,
201,109,,,"合    計","合    計",,,1004331000,973467000,895446717,30864000,
201,109,02001,C,總統府主管,總統府主管,00020000000,,1004331000,973467000,895446717,30864000,
201,109,02001,C,總統府,總統府,00020010000,,1004331000,973467000,895446717,30864000,
201,109,02001,C,國務支出,國務支出,31020010000,,1004331000,973467000,895446717,30864000,
201,109,02001,C,一般行政,一般行政,31020010100,"<#H1>本年度預算數876,618千元，包括人事費627,852千元，業務費204,631千元，設備及投資43,169千元，獎補助費966千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費627,852千元，與上年度同。<#H2>基本行政工作維持費180,149千元，較上年度減列景觀照明節能汰換、強化博愛路側安全防護設施、外牆清洗防護及局部檢修工程等經費15,109千元。<#H2>資訊行政工作維持費63,170千元，較上年度增列擴大資訊安全管理系統(ISMS)驗證範圍、汰換個人電腦及伺服主機硬體設備等經費10,264千元。<#H2>警衛行政工作維持費5,447千元，與上年度同。",876618000,881463000,804007995,-4845000,
201,109,02001,C,國務機要,國務機要,31020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29998454,0,
201,109,02001,C,國家慶典,國家慶典,31020010300,"<#H1>本年度預算數51,141千元，包括人事費500千元，業務費50,641千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典布置經費7,080千元，與上年度同。<#H2>慶典接待經費8,725千元，與上年度同。<#H2>新增第15任總統副總統就職經費35,336千元。",51141000,15805000,15587925,35336000,
201,109,02001,C,研究發展,研究發展,31020010400,,8195000,6724000,5541206,1471000,
201,109,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,31020010401,"<#H1>本年度預算數8,195千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費7,148千元，較上年度增列辦理第13屆考試委員暨第6屆監察委員提名幕僚作業等經費1,471千元。<#H2>國政建言經費1,047千元，與上年度同。",8195000,6724000,5541206,1471000,
201,109,02001,C,新聞發布,新聞發布,31020010500,"<#H1>本年度預算數7,335千元，全數為業務費。<#H1>本年度預算數7,335千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理新聞活動等經費18千元。",7335000,7353000,9402769,-18000,
201,109,02001,C,卸任禮遇,卸任禮遇,31020010600,"<#H1>本年度預算數21,967千元，包括人事費7,767千元，業務費14,200千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>第13任卸任總統禮遇經費8,683千元，與上年度同。<#H2>新增第7任卸任副總統禮遇經費6,642千元。<#H2>第13任卸任副總統禮遇經費1,016千元，較上年度減列禮遇金及處理事務等經費4,126千元。<#H2>新增第14任卸任副總統禮遇經費5,626千元。<#H2>上年度第9任卸任總統禮遇預算業已編竣，所列8,683千元如數減列。",21967000,22508000,26126918,-541000,
201,109,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,31020010800,"<#H1>本年度預算數6,003千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>印信鑄造及公報編印經費2,969千元，較上年度減列各機關印信製(換)發等經費211千元。<#H2>勳章製作及敬老事宜經費3,034千元，較上年度減列勳章製作等經費527千元。",6003000,6741000,4781450,-738000,
201,109,02001,C,第一預備金,第一預備金,31020019800,本年度預算數較上年度增列如列數。,3072000,2873000,0,199000,
201,110,,,"合    計","合    計",,,978916000,1004331000,955956487,-25415000,
201,110,02001,C,總統府主管,總統府主管,00020000000,,978916000,1004331000,955956487,-25415000,
201,110,02001,C,總統府,總統府,00020010000,,978916000,1004331000,955956487,-25415000,
201,110,02001,C,國務支出,國務支出,31020010000,,978916000,1004331000,955956487,-25415000,
201,110,02001,C,一般行政,一般行政,31020010100,"<#H1>本年度預算數896,334千元，包括人事費630,161千元，業務費226,435千元，設備及投資38,827千元，獎補助費911千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費630,161千元，較上年度核實增列人事費2,309千元。<#H2>基本行政工作維持費190,722千元，較上年度減列公共區域牆面及天花板油漆粉刷等經費46,061千元，增列南北苑外牆立面及木窗檢修、府內迴廊地板鋪面改善等經費56,634千元，計淨增10,573千元。其中南北苑外牆立面及木窗檢修計畫總經費48,310千元，分2年辦理，本年度編列第1年經費23,080千元。<#H2>資訊行政工作維持費70,154千元，較上年度增列資訊服務費等經費6,984千元。<#H2>警衛行政工作維持費5,297千元，較上年度減列軍職人員服裝等經費150千元。",896334000,876618000,865069000,19716000,
201,110,02001,C,國務機要,國務機要,31020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29820082,0,
201,110,02001,C,國家慶典,國家慶典,31020010300,"<#H1>本年度預算數15,760千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典布置經費7,080千元，與上年度同。<#H2>慶典接待經費8,680千元，較上年度減列重要活動攝影等經費45千元。<#H2>上年度辦理第15任總統副總統就職預算業已編竣，所列35,336千元如數減列。",15760000,51141000,15681779,-35381000,
201,110,02001,C,研究發展,研究發展,31020010400,,5332000,8195000,5694078,-2863000,
201,110,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,31020010401,"<#H1>本年度預算數5,332千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費4,285千元，較上年度減列辦理第13屆考試委員暨第6屆監察委員提名幕僚作業等經費2,863千元。<#H2>國政建言經費1,047千元，與上年度同。",5332000,8195000,5694078,-2863000,
201,110,02001,C,新聞發布,新聞發布,31020010500,"<#H1>本年度預算數6,799千元，全數為業務費。<#H1>本年度預算數6,799千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理新聞活動等經費536千元。",6799000,7335000,6788752,-536000,
201,110,02001,C,卸任禮遇,卸任禮遇,31020010600,"<#H1>本年度預算數8,683千元，包括人事費3,183千元，業務費5,500千元。<#H1>本年度預算數8,683千元，係第13任卸任總統禮遇經費，較上年度減列第7任、第13任及第14任卸任副總統禮遇預算13,284千元。",8683000,21967000,27913726,-13284000,
201,110,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,31020010800,"<#H1>本年度預算數4,361千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>印信鑄造及公報編印經費2,040千元，較上年度減列各機關印信製(換)發等經費929千元。<#H2>勳章製作及敬老事宜經費2,321千元，較上年度減列勳章製作等經費713千元。",4361000,6003000,4989070,-1642000,
201,110,02001,C,一般建築及設備,一般建築及設備,31020019000,,8275000,0,0,8275000,
201,110,02001,C,交通及運輸設備,交通及運輸設備,31020019011,新增汰購首長專用車1輛、公務車5輛、機車4輛及相關設施等經費如列數。,8275000,0,0,8275000,
201,110,02001,C,第一預備金,第一預備金,31020019800,本年度預算數較上年度增列如列數。,3372000,3072000,0,300000,
201,111,,,"合    計","合    計",,,992970000,978916000,997305546,14054000,
201,111,02001,C,總統府主管,總統府主管,00020000000,,992970000,978916000,997305546,14054000,
201,111,02001,C,總統府,總統府,00020010000,,992970000,978916000,997305546,14054000,
201,111,02001,C,國務支出,國務支出,31020010000,,992970000,978916000,997305546,14054000,
201,111,02001,C,一般行政,一般行政,31020010100,"<#H1>本年度預算數909,087千元，包括人事費632,470千元，業務費232,993千元，設備及投資42,713千元，獎補助費911千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費632,470千元，較上年度核實增列人事費2,309千元。<#H2>基本行政工作維持費200,817千元，較上年度增列臺北賓館附屬舊建築物整修及發電機設備汰換等經費10,095千元。其中南北苑外牆立面及木窗檢修計畫總經費47,310千元，分2年辦理，110年度已編列23,080千元，本年度續編最後1年經費24,230千元，較上年度增列1,150千元。<#H2>資訊行政工作維持費70,353千元，較上年度增列日誌系統容量擴充等經費199千元。<#H2>警衛行政工作維持費5,447千元，較上年度增列軍職人員服裝等經費150千元。",909087000,896334000,882112756,12753000,
201,111,02001,C,國務機要,國務機要,31020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29993006,0,
201,111,02001,C,國家慶典,國家慶典,31020010300,"<#H1>本年度預算數15,662千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典布置經費7,080千元，與上年度同。<#H2>慶典接待經費8,582千元，較上年度減列重要活動攝影等經費98千元。",15662000,15760000,45578949,-98000,
201,111,02001,C,研究發展,研究發展,31020010400,,5142000,5332000,6720184,-190000,
201,111,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,31020010401,"<#H1>本年度預算數5,142千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費4,175千元，較上年度減列辦理議題會議等經費110千元。<#H2>國政建言經費967千元，較上年度減列辦理民眾陳情業務等經費80千元。",5142000,5332000,6720184,-190000,
201,111,02001,C,新聞發布,新聞發布,31020010500,"<#H1>本年度預算數6,699千元，全數為業務費。<#H1>本年度預算數6,699千元，係辦理新聞聯繫與發布所需經費，較上年度減列辦理新聞活動等經費100千元。",6699000,6799000,7197941,-100000,
201,111,02001,C,卸任禮遇,卸任禮遇,31020010600,"<#H1>本年度預算數8,683千元，包括人事費3,183千元，業務費5,500千元。<#H1>本年度預算數8,683千元，係第13任卸任總統禮遇經費，與上年度同。",8683000,8683000,19783085,0,
201,111,02001,C,公報編印及印信勳章鑄造,公報編印及印信勳章鑄造,31020010800,"<#H1>本年度預算數4,305千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>印信鑄造及公報編印經費1,084千元，較上年度減列各機關印信製(換)發等經費956千元。<#H2>勳章製作及敬老事宜經費3,221千元，較上年度增列勳章製作及致贈敬老狀等經費900千元。",4305000,4361000,5919625,-56000,
201,111,02001,C,一般建築及設備,一般建築及設備,31020019000,,10020000,8275000,0,1745000,
201,111,02001,C,交通及運輸設備,交通及運輸設備,31020019011,"<#H1>本年度預算數10,020千元，全數為設備及投資。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>汰購公務車9輛及相關設施等經費10,020千元。<#H2>上年度汰購首長專用車1輛、公務車5輛、機車4輛及相關設施等預算業已編竣，所列8,275千元如數減列。",10020000,8275000,0,1745000,
201,111,02001,C,第一預備金,第一預備金,31020019800,仍照上年度預算數編列。,3372000,3372000,0,0,
201,112,,,"合    計","合    計",,,1038589000,992970000,923269129,45619000,
201,112,02001,C,總統府主管,總統府主管,00020000000,,1038589000,992970000,923269129,45619000,
201,112,02001,C,總統府,總統府,00020010000,,1038589000,992970000,923269129,45619000,
201,112,02001,C,國務支出,國務支出,31020010000,,1038589000,992970000,923269129,45619000,
201,112,02001,C,一般行政,一般行政,31020010100,"<#H1>本年度預算數955,461千元，包括人事費657,474千元，業務費235,223千元，設備及投資61,853千元，獎補助費911千元。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>人員維持費657,474千元，較上年度伸算增列調整待遇等經費25,004千元。<#H2>基本行政工作維持費191,878千元，較上年度減列南北苑外牆立面及木窗檢修等經費69,515千元，增列中央空調及門禁識別管理系統汰換等經費60,576千元，計淨減8,939千元。其中中央空調主機與送風機系統汰換計畫總經費90,893千元，分4年辦理，本年度編列第1年經費13,223千元。<#H2>資訊行政工作維持費100,616千元，較上年度增列資訊軟硬體設備費等30,263千元。其中資訊資安基礎環境創新升級計畫總經費131,611千元，分4年辦理，本年度編列第1年經費30,462千元。<#H2>警衛行政工作維持費5,493千元，較上年度增列禮賓及相關員工服裝經費46千元。",955461000,909087000,848019480,46374000,
201,112,02001,C,國務機要,國務機要,31020010200,"<#H1>本年度預算數30,000千元，全數為業務費。<#H1>本年度預算數30,000千元，係國家元首訪視、犒賞、獎助、慰問、接待、贈禮及其他相關經費，與上年度同。",30000000,30000000,29999482,0,
201,112,02001,C,國家慶典,國家慶典,31020010300,"<#H1>本年度預算數15,568千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>慶典布置經費7,080千元，與上年度同。<#H2>慶典接待經費8,488千元，較上年度減列資料印刷等經費94千元。",15568000,15662000,15220658,-94000,
201,112,02001,C,研究發展,研究發展,31020010400,,5001000,5142000,4438108,-141000,
201,112,02001,C,國家發展研究及諮詢,國家發展研究及諮詢,31020010401,"<#H1>本年度預算數5,001千元，全數為業務費。<#H1>本年度預算數之內容與上年度之比較如下：<#H2>國政規劃與諮詢經費4,034千元，較上年度減列文件審譯稿等經費141千元。<#H2>國政建言經費967千元，與上年度同。",5001000,5142000,4438108,-141000,
