id,time,會計年度,月份,款,項,目,節,預算科目編號,預算科目名稱,細目編號,細目名稱,原預算數,追加減數,截至本月止分配預算數_1,本月實現數,截至本月止累計實現數_2,應收收入數_3,分配數預算餘額_4
201,10503,105,3,,01,,,0402010000-6,總統府,,,0,0,0,"3,704","3,704",0,"3,704"
201,10503,105,3,,,01,,0402010300-0,賠償收入,,,0,0,0,"3,704","3,704",0,"3,704"
201,10503,105,3,,,,01,0402010301-2,一般賠償收入,,,0,0,0,"3,704","3,704",0,"3,704"
201,10503,105,3,03,,,,0500000000-8,規費收入,,,"131,000",0,"40,000","17,576","48,675",0,"8,675"
201,10503,105,3,,01,,,0502010000-1,總統府,,,"131,000",0,"40,000","17,576","48,675",0,"8,675"
201,10503,105,3,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"40,000","17,576","48,675",0,"8,675"
201,10503,105,3,,,,01,0502010305-9,資料使用費,,,"131,000",0,"40,000","17,576","48,675",0,"8,675"
201,10503,105,3,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,580,000",0,"1,588,196",0,"8,196"
201,10503,105,3,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,580,000",0,"1,588,196",0,"8,196"
201,10503,105,3,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,580,000",0,"1,588,196",0,"8,196"
201,10503,105,3,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"1,370,000",0,0
201,10503,105,3,,,,02,0702010106-3,租金收入,,,"526,000",0,"210,000",0,"218,196",0,"8,196"
201,10503,105,3,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10503,105,3,07,,,,1100000000-2,其他收入,,,"315,000",0,"63,000","26,043","98,476",0,"35,476"
201,10503,105,3,,01,,,1102010000-6,總統府,,,"315,000",0,"63,000","26,043","98,476",0,"35,476"
201,10503,105,3,,,01,,1102010900-7,雜項收入,,,"315,000",0,"63,000","26,043","98,476",0,"35,476"
201,10503,105,3,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,1,"32,964",0,"32,964"
201,10503,105,3,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"63,000","26,042","65,512",0,"2,512"
201,10503,105,3,,,,,合計,,,,"2,432,000",0,"1,683,000","47,323","1,739,051",0,"56,051"
201,10504,105,4,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,"2,000","5,704",0,"5,704"
201,10504,105,4,,01,,,0402010000-6,總統府,,,0,0,0,"2,000","5,704",0,"5,704"
201,10504,105,4,,,01,,0402010300-0,賠償收入,,,0,0,0,"2,000","5,704",0,"5,704"
201,10504,105,4,,,,01,0402010301-2,一般賠償收入,,,0,0,0,"2,000","5,704",0,"5,704"
201,10504,105,4,03,,,,0500000000-8,規費收入,,,"131,000",0,"46,000","5,616","54,291",0,"8,291"
201,10504,105,4,,01,,,0502010000-1,總統府,,,"131,000",0,"46,000","5,616","54,291",0,"8,291"
201,10504,105,4,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"46,000","5,616","54,291",0,"8,291"
201,10504,105,4,,,,01,0502010305-9,資料使用費,,,"131,000",0,"46,000","5,616","54,291",0,"8,291"
201,10504,105,4,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,641,000","56,541","1,644,737",0,"3,737"
201,10504,105,4,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,641,000","56,541","1,644,737",0,"3,737"
201,10504,105,4,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,641,000","56,541","1,644,737",0,"3,737"
201,10504,105,4,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"1,370,000",0,0
201,10504,105,4,,,,02,0702010106-3,租金收入,,,"526,000",0,"271,000","56,541","274,737",0,"3,737"
201,10504,105,4,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10504,105,4,07,,,,1100000000-2,其他收入,,,"315,000",0,"88,000","24,243","122,719",0,"34,719"
201,10504,105,4,,01,,,1102010000-6,總統府,,,"315,000",0,"88,000","24,243","122,719",0,"34,719"
201,10504,105,4,,,01,,1102010900-7,雜項收入,,,"315,000",0,"88,000","24,243","122,719",0,"34,719"
201,10504,105,4,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,0,"32,964",0,"32,964"
201,10504,105,4,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"88,000","24,243","89,755",0,"1,755"
201,10504,105,4,,,,,合計,,,,"2,432,000",0,"1,775,000","88,400","1,827,451",0,"52,451"
201,10505,105,5,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,0,"5,704",0,"5,704"
201,10505,105,5,,01,,,0402010000-6,總統府,,,0,0,0,0,"5,704",0,"5,704"
201,10505,105,5,,,01,,0402010300-0,賠償收入,,,0,0,0,0,"5,704",0,"5,704"
201,10505,105,5,,,,01,0402010301-2,一般賠償收入,,,0,0,0,0,"5,704",0,"5,704"
201,10505,105,5,03,,,,0500000000-8,規費收入,,,"131,000",0,"51,000","3,744","58,035",0,"7,035"
201,10505,105,5,,01,,,0502010000-1,總統府,,,"131,000",0,"51,000","3,744","58,035",0,"7,035"
201,10505,105,5,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"51,000","3,744","58,035",0,"7,035"
201,10505,105,5,,,,01,0502010305-9,資料使用費,,,"131,000",0,"51,000","3,744","58,035",0,"7,035"
201,10505,105,5,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,655,000",0,"1,644,737",0,"-10,263"
201,10505,105,5,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,655,000",0,"1,644,737",0,"-10,263"
201,10505,105,5,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,655,000",0,"1,644,737",0,"-10,263"
201,10505,105,5,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"1,370,000",0,0
201,10505,105,5,,,,02,0702010106-3,租金收入,,,"526,000",0,"285,000",0,"274,737",0,"-10,263"
201,10505,105,5,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10505,105,5,07,,,,1100000000-2,其他收入,,,"315,000",0,"114,000","31,720","154,439",0,"40,439"
201,10505,105,5,,01,,,1102010000-6,總統府,,,"315,000",0,"114,000","31,720","154,439",0,"40,439"
201,10505,105,5,,,01,,1102010900-7,雜項收入,,,"315,000",0,"114,000","31,720","154,439",0,"40,439"
201,10505,105,5,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,4,"32,968",0,"32,968"
201,10505,105,5,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"114,000","31,716","121,471",0,"7,471"
201,10505,105,5,,,,,合計,,,,"2,432,000",0,"1,820,000","35,464","1,862,915",0,"42,915"
201,10506,105,6,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,0,"5,704",0,"5,704"
201,10506,105,6,,01,,,0402010000-6,總統府,,,0,0,0,0,"5,704",0,"5,704"
201,10506,105,6,,,01,,0402010300-0,賠償收入,,,0,0,0,0,"5,704",0,"5,704"
201,10506,105,6,,,,01,0402010301-2,一般賠償收入,,,0,0,0,0,"5,704",0,"5,704"
201,10506,105,6,03,,,,0500000000-8,規費收入,,,"131,000",0,"66,000","3,015","61,050",0,"-4,950"
201,10506,105,6,,01,,,0502010000-1,總統府,,,"131,000",0,"66,000","3,015","61,050",0,"-4,950"
201,10506,105,6,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"66,000","3,015","61,050",0,"-4,950"
201,10506,105,6,,,,01,0502010305-9,資料使用費,,,"131,000",0,"66,000","3,015","61,050",0,"-4,950"
201,10506,105,6,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,669,000",0,"1,644,737",0,"-24,263"
201,10506,105,6,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,669,000",0,"1,644,737",0,"-24,263"
201,10506,105,6,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,669,000",0,"1,644,737",0,"-24,263"
201,10506,105,6,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"1,370,000",0,0
201,10506,105,6,,,,02,0702010106-3,租金收入,,,"526,000",0,"299,000",0,"274,737",0,"-24,263"
201,10506,105,6,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10506,105,6,07,,,,1100000000-2,其他收入,,,"315,000",0,"139,000","17,052","171,491",0,"32,491"
201,10506,105,6,,01,,,1102010000-6,總統府,,,"315,000",0,"139,000","17,052","171,491",0,"32,491"
201,10506,105,6,,,01,,1102010900-7,雜項收入,,,"315,000",0,"139,000","17,052","171,491",0,"32,491"
201,10506,105,6,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,0,"32,968",0,"32,968"
201,10506,105,6,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"139,000","17,052","138,523",0,-477
201,10506,105,6,,,,,合計,,,,"2,432,000",0,"1,874,000","20,067","1,882,982",0,"8,982"
201,10507,105,7,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,30,"5,734",0,"5,734"
201,10507,105,7,,01,,,0402010000-6,總統府,,,0,0,0,30,"5,734",0,"5,734"
201,10507,105,7,,,01,,0402010300-0,賠償收入,,,0,0,0,30,"5,734",0,"5,734"
201,10507,105,7,,,,01,0402010301-2,一般賠償收入,,,0,0,0,30,"5,734",0,"5,734"
201,10507,105,7,03,,,,0500000000-8,規費收入,,,"131,000",0,"71,000","2,018","63,068",0,"-7,932"
201,10507,105,7,,01,,,0502010000-1,總統府,,,"131,000",0,"71,000","2,018","63,068",0,"-7,932"
201,10507,105,7,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"71,000","2,018","63,068",0,"-7,932"
201,10507,105,7,,,,01,0502010305-9,資料使用費,,,"131,000",0,"71,000","2,018","63,068",0,"-7,932"
201,10507,105,7,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,807,000","-188,778","1,455,959",0,"-351,041"
201,10507,105,7,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,807,000","-188,778","1,455,959",0,"-351,041"
201,10507,105,7,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,807,000","-188,778","1,455,959",0,"-351,041"
201,10507,105,7,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000","-344,155","1,025,845",0,"-344,155"
201,10507,105,7,,,,02,0702010106-3,租金收入,,,"526,000",0,"437,000","155,377","430,114",0,"-6,886"
201,10507,105,7,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10507,105,7,07,,,,1100000000-2,其他收入,,,"315,000",0,"165,000","18,216","189,707",0,"24,707"
201,10507,105,7,,01,,,1102010000-6,總統府,,,"315,000",0,"165,000","18,216","189,707",0,"24,707"
201,10507,105,7,,,01,,1102010900-7,雜項收入,,,"315,000",0,"165,000","18,216","189,707",0,"24,707"
201,10507,105,7,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,0,"32,968",0,"32,968"
201,10507,105,7,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"165,000","18,216","156,739",0,"-8,261"
201,10507,105,7,,,,,合計,,,,"2,432,000",0,"2,043,000","-168,514","1,714,468",0,"-328,532"
201,10508,105,8,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10508,105,8,,01,,,0402010000-6,總統府,,,0,0,0,0,"5,734",0,"5,734"
201,10508,105,8,,,01,,0402010300-0,賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10508,105,8,,,,01,0402010301-2,一般賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10508,105,8,03,,,,0500000000-8,規費收入,,,"131,000",0,"74,000","7,711","70,779",0,"-3,221"
201,10508,105,8,,01,,,0502010000-1,總統府,,,"131,000",0,"74,000","7,711","70,779",0,"-3,221"
201,10508,105,8,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"74,000","7,711","70,779",0,"-3,221"
201,10508,105,8,,,,01,0502010305-9,資料使用費,,,"131,000",0,"74,000","7,711","70,779",0,"-3,221"
201,10508,105,8,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,807,000",0,"1,455,959",0,"-351,041"
201,10508,105,8,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,807,000",0,"1,455,959",0,"-351,041"
201,10508,105,8,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,807,000",0,"1,455,959",0,"-351,041"
201,10508,105,8,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"1,025,845",0,"-344,155"
201,10508,105,8,,,,02,0702010106-3,租金收入,,,"526,000",0,"437,000",0,"430,114",0,"-6,886"
201,10508,105,8,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10508,105,8,07,,,,1100000000-2,其他收入,,,"315,000",0,"190,000","17,595","207,302",0,"17,302"
201,10508,105,8,,01,,,1102010000-6,總統府,,,"315,000",0,"190,000","17,595","207,302",0,"17,302"
201,10508,105,8,,,01,,1102010900-7,雜項收入,,,"315,000",0,"190,000","17,595","207,302",0,"17,302"
201,10508,105,8,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,0,"32,968",0,"32,968"
201,10508,105,8,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"190,000","17,595","174,334",0,"-15,666"
201,10508,105,8,,,,,合計,,,,"2,432,000",0,"2,071,000","25,306","1,739,774",0,"-331,226"
201,10509,105,9,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10509,105,9,,01,,,0402010000-6,總統府,,,0,0,0,0,"5,734",0,"5,734"
201,10509,105,9,,,01,,0402010300-0,賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10509,105,9,,,,01,0402010301-2,一般賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10509,105,9,03,,,,0500000000-8,規費收入,,,"131,000",0,"79,000","6,128","76,907",0,"-2,093"
201,10509,105,9,,01,,,0502010000-1,總統府,,,"131,000",0,"79,000","6,128","76,907",0,"-2,093"
201,10509,105,9,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"79,000","6,128","76,907",0,"-2,093"
201,10509,105,9,,,,01,0502010305-9,資料使用費,,,"131,000",0,"79,000","6,128","76,907",0,"-2,093"
201,10509,105,9,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,807,000","-95,135","1,360,824",0,"-446,176"
201,10509,105,9,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,807,000","-95,135","1,360,824",0,"-446,176"
201,10509,105,9,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,807,000","-95,135","1,360,824",0,"-446,176"
201,10509,105,9,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000","-95,135","930,710",0,"-439,290"
201,10509,105,9,,,,02,0702010106-3,租金收入,,,"526,000",0,"437,000",0,"430,114",0,"-6,886"
201,10509,105,9,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,0,0,0,0
201,10509,105,9,07,,,,1100000000-2,其他收入,,,"315,000",0,"216,000","19,766","227,068",0,"11,068"
201,10509,105,9,,01,,,1102010000-6,總統府,,,"315,000",0,"216,000","19,766","227,068",0,"11,068"
201,10509,105,9,,,01,,1102010900-7,雜項收入,,,"315,000",0,"216,000","19,766","227,068",0,"11,068"
201,10509,105,9,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,0,"32,968",0,"32,968"
201,10509,105,9,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"216,000","19,766","194,100",0,"-21,900"
201,10509,105,9,,,,,合計,,,,"2,432,000",0,"2,102,000","-69,241","1,670,533",0,"-431,467"
201,10510,105,10,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10510,105,10,,01,,,0402010000-6,總統府,,,0,0,0,0,"5,734",0,"5,734"
201,10510,105,10,,,01,,0402010300-0,賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10510,105,10,,,,01,0402010301-2,一般賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10510,105,10,03,,,,0500000000-8,規費收入,,,"131,000",0,"88,000","1,984","78,891",0,"-9,109"
201,10510,105,10,,01,,,0502010000-1,總統府,,,"131,000",0,"88,000","1,984","78,891",0,"-9,109"
201,10510,105,10,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"88,000","1,984","78,891",0,"-9,109"
201,10510,105,10,,,,01,0502010305-9,資料使用費,,,"131,000",0,"88,000","1,984","78,891",0,"-9,109"
201,10510,105,10,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,867,000","74,874","1,435,698",0,"-431,302"
201,10510,105,10,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,867,000","74,874","1,435,698",0,"-431,302"
201,10510,105,10,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,867,000","56,541","1,417,365",0,"-449,635"
201,10510,105,10,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"930,710",0,"-439,290"
201,10510,105,10,,,,02,0702010106-3,租金收入,,,"526,000",0,"497,000","56,541","486,655",0,"-10,345"
201,10510,105,10,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,0,"18,333","18,333",0,"18,333"
201,10510,105,10,07,,,,1100000000-2,其他收入,,,"315,000",0,"258,000","260,374","487,442",0,"229,442"
201,10510,105,10,,01,,,1102010000-6,總統府,,,"315,000",0,"258,000","260,374","487,442",0,"229,442"
201,10510,105,10,,,01,,1102010900-7,雜項收入,,,"315,000",0,"258,000","260,374","487,442",0,"229,442"
201,10510,105,10,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,"226,903","259,871",0,"259,871"
201,10510,105,10,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"258,000","33,471","227,571",0,"-30,429"
201,10510,105,10,,,,,合計,,,,"2,432,000",0,"2,213,000","337,232","2,007,765",0,"-205,235"
201,10511,105,11,02,,,,0400000000-2,罰款及賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10511,105,11,,01,,,0402010000-6,總統府,,,0,0,0,0,"5,734",0,"5,734"
201,10511,105,11,,,01,,0402010300-0,賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10511,105,11,,,,01,0402010301-2,一般賠償收入,,,0,0,0,0,"5,734",0,"5,734"
201,10511,105,11,03,,,,0500000000-8,規費收入,,,"131,000",0,"99,000",40,"78,931",0,"-20,069"
201,10511,105,11,,01,,,0502010000-1,總統府,,,"131,000",0,"99,000",40,"78,931",0,"-20,069"
201,10511,105,11,,,01,,0502010300-5,使用規費收入,,,"131,000",0,"99,000",40,"78,931",0,"-20,069"
201,10511,105,11,,,,01,0502010305-9,資料使用費,,,"131,000",0,"99,000",40,"78,931",0,"-20,069"
201,10511,105,11,04,,,,0700000000-9,財產收入,,,"1,986,000",0,"1,970,000",0,"1,435,698",0,"-534,302"
201,10511,105,11,,01,,,0702010000-2,總統府,,,"1,986,000",0,"1,970,000",0,"1,435,698",0,"-534,302"
201,10511,105,11,,,01,,0702010100-7,財產孳息,,,"1,896,000",0,"1,880,000",0,"1,417,365",0,"-462,635"
201,10511,105,11,,,,01,0702010105-0,權利金,,,"1,370,000",0,"1,370,000",0,"930,710",0,"-439,290"
201,10511,105,11,,,,02,0702010106-3,租金收入,,,"526,000",0,"510,000",0,"486,655",0,"-23,345"
201,10511,105,11,,,02,,0702010600-0,廢舊物資售價,,,"90,000",0,"90,000",0,"18,333",0,"-71,667"
201,10511,105,11,07,,,,1100000000-2,其他收入,,,"315,000",0,"289,000","34,364","521,806",0,"232,806"
201,10511,105,11,,01,,,1102010000-6,總統府,,,"315,000",0,"289,000","34,364","521,806",0,"232,806"
201,10511,105,11,,,01,,1102010900-7,雜項收入,,,"315,000",0,"289,000","34,364","521,806",0,"232,806"
201,10511,105,11,,,,01,1102010901-0,收回以前年度歲出,,,0,0,0,0,"259,871",0,"259,871"
201,10511,105,11,,,,02,1102010909-1,其他雜項收入,,,"315,000",0,"289,000","34,364","261,935",0,"-27,065"
201,10511,105,11,,,,,合計,,,,"2,432,000",0,"2,358,000","34,404","2,042,169",0,"-315,831"
201,10512,105,12,2,,,,0400000000-2,罰款及賠償收入,,,0,0,0,1504,7238,0,0,7238
201,10512,105,12,,1,,,0402010000-6,總統府,,,0,0,0,1504,7238,0,0,7238
201,10512,105,12,,,1,,0402010300-0,賠償收入,,,0,0,0,1504,7238,0,0,7238
201,10512,105,12,,,,1,0402010301-2,一般賠償收入,,,0,0,0,1504,7238,0,0,7238
201,10512,105,12,3,,,,0500000000-8,規費收入,,,131000,0,131000,17093,96024,0,0,-34976
201,10512,105,12,,1,,,0502010000-1,總統府,,,131000,0,131000,17093,96024,0,0,-34976
201,10512,105,12,,,1,,0502010300-5,使用規費收入,,,131000,0,131000,17093,96024,0,0,-34976
201,10512,105,12,,,,1,0502010305-9,資料使用費,,,131000,0,131000,17093,96024,0,0,-34976
201,10512,105,12,4,,,,0700000000-9,財產收入,,,1986000,0,1986000,283998,1719696,0,0,-266304
201,10512,105,12,,1,,,0702010000-2,總統府,,,1986000,0,1986000,283998,1719696,0,0,-266304
201,10512,105,12,,,1,,0702010100-7,財產孳息,,,1896000,0,1896000,0,1417365,0,0,-478635
201,10512,105,12,,,,1,0702010105-0,權利金,,,1370000,0,1370000,0,930710,0,0,-439290
201,10512,105,12,,,,2,0702010106-3,租金收入,,,526000,0,526000,0,486655,0,0,-39345
201,10512,105,12,,,2,,0702010600-0,廢舊物資售價,,,90000,0,90000,283998,302331,0,0,212331
201,10512,105,12,7,,,,1100000000-2,其他收入,,,315000,0,315000,62294,584100,0,0,269100
201,10512,105,12,,1,,,1102010000-6,總統府,,,315000,0,315000,62294,584100,0,0,269100
201,10512,105,12,,,1,,1102010900-7,雜項收入,,,315000,0,315000,62294,584100,0,0,269100
201,10512,105,12,,,,1,1102010901-0,收回以前年度歲出,,,0,0,0,0,259871,0,0,259871
201,10512,105,12,,,,2,1102010909-1,其他雜項收入,,,315000,0,315000,62294,324229,0,0,9229
201,10512,105,12,,,,,合計,,,,2432000,0,2432000,364889,2407058,0,0,-24942
201,10601,106,01,3,,,,0500000000-8,規費收入,,,0,0,0,24019,24019,0,24019
201,10601,106,01,,1,,,0502010000-1,總統府,,,0,0,0,24019,24019,0,24019
201,10601,106,01,,,1,,0502010300-5,使用規費收入,,,0,0,0,24019,24019,0,24019
201,10601,106,01,,,,1,0502010305-9,資料使用費,,,0,0,0,24019,24019,0,24019
201,10601,106,01,4,,,,0700000000-9,財產收入,,,0,0,0,297068,297068,0,297068
201,10601,106,01,,1,,,0702010000-2,總統府,,,0,0,0,297068,297068,0,297068
201,10601,106,01,,,1,,0702010100-7,財產孳息,,,0,0,0,297068,297068,0,297068
201,10601,106,01,,,,2,0702010106-3,租金收入,,,0,0,0,297068,297068,0,297068
201,10601,106,01,7,,,,1100000000-2,其他收入,,,0,0,0,15387,15387,0,15387
201,10601,106,01,,1,,,1102010000-6,總統府,,,0,0,0,15387,15387,0,15387
201,10601,106,01,,,1,,1102010900-7,雜項收入,,,0,0,0,15387,15387,0,15387
201,10601,106,01,,,,2,1102010909-1,其他雜項收入,,,0,0,0,15387,15387,0,15387
201,10601,106,01,,,,,合計,,,,0,0,0,336474,336474,0,336474
201,10602,106,02,3,,,,0500000000-8,規費收入,,,123000,0,43000,5616,29635,0,-13365
201,10602,106,02,,1,,,0502010000-1,總統府,,,123000,0,43000,5616,29635,0,-13365
201,10602,106,02,,,1,,0502010300-5,使用規費收入,,,123000,0,43000,5616,29635,0,-13365
201,10602,106,02,,,,1,0502010305-9,資料使用費,,,123000,0,43000,5616,29635,0,-13365
201,10602,106,02,4,,,,0700000000-9,財產收入,,,2428000,0,993000,706772,1003840,0,10840
